album;artist;ranking
Más;Alejandro Sanz;1
Su Piano Y Su Música;Armando Manzanero;2
Adiós Nonino;Astor Piazzola;3
The Last;Aventura;4
Lágrimas Negras;Bebo & Cigala;5
Buena Vista Social Club;Buena Vista Social Club;6
Re;Café Tacvba;7
Los De Atras Vienen Conmigo;Calle 13;8
Clasicos De La Provincia;Carlos Vives;9
Celia Y Johnny;Celia Y Johnny;10
Clics Modernos;Charly Garcia;11
Barrio Fino;Daddy Yankee;12
Vagabundo;Draco Rosa;13
Suavemente;Elvis Crespo;14
Vivir;Enrique Iglesias;15
Vasos Vacios;Los Fabulosos Cadillacs;16
Al Norte Del Sur;Franco De Vita;17
Mi Tierra;Gloria Estefan;18
Tu Angel De La Guarda;Gloria Trevi;19
Cielo De Tambores;Grupo Niche;20
Comedia;Hector Lavoe;21
Irakere;Irakere;22
Mediterráneo;Joan Manuel Serrat;23
Secreto De Amor;Joan Sebastian;24
19 Dias Y 500 Noches;Joaquín Sabina;25
Secretos;José José;26
Siempre En Mi Mente;Juan Gabriel;27
Bachata Rosa;Juan Luis Guerra;28
Un Dia Normal;Juanes;29
El Amor;Julio Iglesias;30
Canciones De Mi Padre;Linda Ronstadt;31
Jefe De Jefes;Los Tigres Del Norte;32
Romance;Luis Miguel;33
¿Dónde Jugarán Los Niños?;Maná;34
Clandestino;Manu Chao;35
Todo a Su Tiempo;Marc Anthony;36
Trozos De Mi Alma;Marco Antonio Solís;37
Homenaje a Violeta Parra;Mercedes Sosa;38
Fuente Y Caudal;Paco De Lucia;39
Historias;Ricardo Arjona;40
Vuelve;Ricky Martin;41
Un Gato En La Oscuridad;Roberto Carlos;42
Abraxas;Santana;43
Amor Prohibido;Selena;44
Pies Descalzos;Shakira;45
Unicornio;Silvio Rodriguez;46
Canción Animal;Soda Stereo;47
Obra Maestra;Tito Puente & Eddie Palmieri;48
El Ídolo De Mexico;Vicente Fernandez;49
Siembra;Willie Colón & Rubén Blades;50